Proteins,isoelectric point,negatively charged particle,positively charged particle,absorbance
YDL131W,5.88116,61,53,0.50171
YDL132W,8.52301,104,110,1.01562
YDL133W,8.87665,47,54,1.41348
YDL134C,4.61432,56,28,1.2155
YDL135C,5.76532,34,31,1.05498
YDL137W,6.75055,21,21,1.77007
YDL138W,5.67938,61,50,1.13392
YDL139C,6.21613,48,45,0.77912
YDL140C,5.41815,219,176,0.83788
YDL143W,8.03766,69,71,0.21414
YDL144C,6.2829,44,41,1.01817
YDL145C,5.66119,161,134,1.19829
YDL146W,5.67328,60,53,0.82044
YDL147W,5.79352,70,61,1.05413
YDL148C,6.95172,149,148,0.43663
YDL149W,5.65863,131,110,1.12685
YDL150W,8.59259,75,78,0.18171
YDL153C,4.59491,158,97,0.63957
YDL154W,5.11481,129,97,0.80361
YDL155W,5.17377,67,45,1.56453
YDL156W,6.7923,77,76,0.91894
YDL158C,8.67731,7,10,1.46698
YDL159W,9.25177,52,66,0.66256
YDL159W-A,5.71136,2,2,0.31723
YDL160C,8.05682,51,53,0.56888
YDL161W,5.63715,59,53,0.69874
YDL162C,8.23749,10,12,1.10604
YDL164C,7.44171,101,102,0.62209
YDL165W,5.59576,25,21,1.46139
YDL166C,4.53973,43,22,1.3383
YDL167C,6.40045,62,56,0.94851
YDL168W,6.3266,47,44,0.60414
YDL171C,6.14862,277,254,0.99795
YDL172C,6.19025,10,10,0.32024
YDL173W,9.50275,33,42,0.14019
YDL175C,9.05634,39,53,1.08469
YDL178W,5.77643,68,59,0.96351
YDL179W,9.65448,24,35,0.98556
YDL180W,5.21466,53,36,1.1459
YDL181W,10.07208,13,19,0.15096
YDL183C,9.62958,31,51,1.36476
YDL185W,5.82611,142,126,1.01631
YDL186W,5.45428,41,32,1.02277
YDL188C,4.62921,62,32,1.18418
YDL189W,8.09735,51,53,1.13018
YDL190C,5.56195,131,111,0.53587
YDL191W,10.58344,10,33,0.43747
YDL192W,6.75092,21,21,1.70854
YDL193W,6.4798,50,48,0.99468
YDL195W,5.48749,134,109,1.02818
YDL196W,9.54083,7,15,1.47813
YDL198C,10.02216,22,41,0.8594
YDL199C,9.12958,50,61,1.19999
YDL200C,8.9494,22,27,1.02007
YDL201W,9.17462,38,47,1.04459
YDL202W,9.70587,24,37,0.70367
YDL203C,8.56842,62,69,1.32659
YDL204W,9.20831,44,51,0.56066
YDL207W,9.00897,74,83,0.86294
YDL208W,9.72748,20,33,0.26837
YDL209C,8.08563,49,51,1.0065
YDL210W,6.24249,41,39,1.85075
YDL212W,8.21344,18,20,1.23532
YDL213C,10.08246,33,55,0
YDL214C,6.25726,90,83,0.89748
YDL215C,5.47565,144,118,0.83503
YDL216C,5.45038,67,55,0.76154
YDL217C,5.8869,17,16,0.62478
YDL218W,8.15094,23,25,1.27927
YDL219W,6.83929,22,22,0.51388
YDL220C,6.14484,117,107,0.63125
YDL221W,9.0119,9,16,1.58875
YDL223C,5.92413,144,116,0.63046
YDL224C,6.47357,55,50,0.41916
YDL225W,5.4007,84,70,0.47246
YDL226C,5.64606,50,43,1.08637
YDL229W,5.31866,88,76,0.28956
YDL230W,8.16547,38,40,1.65832
YDL232W,4.5351,3,1,0.37393
YDL233W,8.59332,39,42,0.76189
YDL235C,4.57684,28,17,0.81358
YDL236W,6.00397,36,34,0.89518
YDL237W,5.3432,52,40,1.48866
YDL239C,8.58063,120,126,0.58087
YDL240W,8.54144,115,128,0.94582
YDL241W,6.80511,9,9,0.9204
YDL243C,6.33221,42,39,1.72055
YDL245C,8.38531,42,47,1.77958
YDL246C,6.26373,40,37,0.56725
YDL248W,8.83038,41,49,2.43306
YDR001C,7.61005,93,94,1.50597
YDR002W,5.84552,44,41,0.69033
YDR003W,5.18964,30,24,1.28312
YDR004W,6.19281,56,52,1.00341
YDR005C,5.14655,52,43,1.10535
YDR006C,9.19073,86,103,0.71631
YDR007W,5.26007,27,22,0.95095
YDR009W,6.51349,59,56,0.82232
YDR010C,9.50104,9,15,1.92617
YDR012W,10.64386,23,57,1.07689
YDR013W,5.04364,31,25,0.86352
YDR016C,4.2077,16,7,0.80642
YDR017C,6.32501,151,138,0.75869
YDR018C,9.58282,29,50,1.47339
YDR020C,4.80402,38,26,0.8325
YDR021W,9.08795,49,58,0.67536
YDR022C,4.03241,43,15,0.47565
YDR023W,5.79596,75,67,1.22475
YDR024W,9.90436,10,20,0.42599
YDR026C,9.3299,90,111,1.37412
YDR027C,5.94733,122,109,0.71898
YDR028C,4.89459,169,108,0.83067
YDR030C,6.49176,66,64,1.23768
YDR031W,5.50824,20,18,0.28703
YDR032C,5.46198,20,14,1.5528
YDR034C,6.49738,96,92,0.8836
YDR036C,8.56635,52,57,0.85862
YDR037W,5.77728,96,83,0.61693
YDR038C,5.32745,131,104,1.05782
YDR039C,5.32745,131,104,1.05763
YDR040C,5.34515,130,102,1.05728
YDR041W,9.29877,24,30,1.11106
YDR042C,9.99371,12,25,1.22244
YDR043C,8.98615,25,32,0.90698
YDR044W,6.31757,44,40,1.72986
YDR045C,4.86029,15,11,1.67346
YDR046C,8.38824,49,53,1.43036
YDR050C,5.73651,32,29,0.95876
YDR052C,9.35101,92,115,0.85575
YDR054C,4.12567,73,28,0.96919
YDR055W,9.25079,25,34,0.22872
YDR056C,4.76215,32,24,1.02312
YDR060W,4.88983,193,139,0.63373
YDR061W,6.55829,67,64,1.26563
YDR062W,8.37921,62,67,0.99017
YDR063W,4.47699,31,18,1.09164
YDR066C,4.95612,27,16,0.76041
YDR067C,9.12836,26,34,0.9668
YDR068W,4.47992,84,46,1.06163
YDR069C,8.43817,92,100,0.80492
YDR070C,9.64203,15,20,0.27478
YDR071C,5.57892,28,22,0.66933
YDR072C,7.73785,41,42,1.74028
YDR073W,7.91559,9,10,0.5408
YDR074W,8.32428,112,117,1.61248
YDR075W,4.91351,46,31,1.24731
YDR076W,6.36591,53,51,0.63205
YDR078C,4.76898,39,21,1.11188
YDR079C-A,4.9953,13,9,0.19618
YDR079W,9.29974,18,23,0.87849
YDR080W,4.76459,165,106,1.00246
YDR082W,5.44257,66,53,1.43019
YDR084C,8.8974,12,16,2.50177
YDR085C,8.84259,87,96,0.80076
YDR086C,9.47943,9,14,0.51378
YDR087C,5.18365,54,45,1.9434
YDR088C,8.89093,70,77,1.12521
YDR091C,8.89301,72,84,0.45493
YDR092W,5.30878,24,20,1.46355
YDR093W,5.84406,213,194,1.11603
YDR095C,10.3454,5,19,0.78745
YDR096W,7.27936,79,79,0.76282
YDR097C,5.58502,183,160,0.84531
YDR098C,4.37335,47,19,0.66611
YDR099W,4.82111,45,29,0.93381
YDR100W,4.31842,12,6,0.75844
YDR101C,6.74432,65,63,0.86602
YDR102C,8.94891,8,12,0.83426
YDR103W,5.25885,119,91,0.6308
YDR104C,9.21747,156,190,1.27924
YDR105C,5.2807,33,25,2.02768
YDR106W,8.01056,34,36,1.07533
YDR107C,7.21063,55,55,1.69014
YDR108W,5.99615,90,80,1.11487
YDR110W,5.84186,89,79,0.88575
YDR111C,5.53986,66,55,0.78071
YDR113C,4.85675,68,49,0.32351
YDR115W,12.52911,0,23,1.04862
YDR116C,9.9798,24,44,0.3486
YDR118W,5.56207,91,78,1.08538
YDR119W,8.57953,61,69,0.9851
YDR120C,9.18866,62,80,0.98585
YDR121W,4.87213,40,28,0.45892
YDR122W,8.80731,129,139,0.60757
YDR123C,5.78448,39,25,0.38193
YDR126W,7.09161,30,30,1.93035
YDR127W,5.888,191,165,0.93518
YDR128W,5.60638,156,128,1.57203
YDR129C,5.30316,92,74,0.92502
YDR130C,9.82062,35,51,0.05243
YDR131C,6.65314,67,65,1.22972
YDR132C,7.05939,63,63,1.11577
YDR133C,9.9881,1,11,1.44509
YDR135C,8.64386,143,156,1.24749
YDR136C,10.04852,10,27,1.3533
YDR137W,5.6087,94,81,0.69772
YDR138W,5.18475,124,102,1.11121
YDR139C,5.86115,12,10,0.1714
YDR140W,4.97443,31,24,1.32866
YDR141C,5.49884,219,186,1.15707
YDR142C,8.58954,33,37,1.80224
YDR143C,5.05267,71,49,0.36073
YDR144C,4.56171,62,35,0.97801
YDR145W,9.56073,51,67,0.6327
YDR146C,8.86139,86,96,0.52555
YDR148C,8.87714,60,65,0.34791
YDR150W,5.26105,476,353,0.69517
YDR152W,4.50494,65,34,0.84675
YDR155C,6.89789,17,17,0.75904
YDR156W,5.11639,16,12,0
YDR158W,6.27313,45,42,0.57039
YDR159W,8.9715,156,177,0.69664
YDR160W,8.89215,75,85,1.22165
YDR162C,4.02411,55,17,1.08693
YDR164C,6.83331,96,94,0.65136
YDR165W,6.24811,59,54,0.94568
YDR166C,5.63116,118,105,0.93141
YDR167W,4.44196,37,22,0.4531
YDR168W,4.94012,102,71,0.44361
YDR169C,6.98981,59,58,0.43012
YDR170C,4.68341,327,201,0.66034
YDR170W-A,8.47528,38,41,0.85611
YDR171W,4.98615,66,43,0.83811
YDR172W,6.55011,87,84,0.97681
YDR173C,4.56842,71,44,0.79574
YDR174W,8.43243,40,42,0.72394
YDR175C,9.23749,46,54,1.33648
YDR176W,5.00531,125,100,0.57397
YDR177W,5.09222,34,24,0.82988
YDR178W,8.9848,15,19,1.56309
YDR179C,5.0722,31,23,1.11958
YDR180W,6.39874,188,178,0.68375
YDR181C,9.47992,69,88,0.4973
YDR183W,5.02875,44,31,0.46653
YDR184C,5.77777,46,38,0.14254
YDR188W,5.59515,75,66,0.37573
YDR189W,5.08551,88,70,0.71695
YDR190C,5.66437,65,58,0.36183
YDR192C,9.93915,10,18,0
YDR194C,9.07391,95,108,0.47432
YDR195W,9.63202,61,90,0.30518
YDR196C,8.75568,28,32,0.81896
YDR198C,5.19354,68,49,1.74659
YDR200C,6.97003,76,75,0.13845
YDR201W,4.76495,35,26,0.243
YDR202C,5.94562,42,38,0.45194
YDR205W,7.46771,51,51,0.79024
YDR206W,9.05573,76,90,1.08931
YDR207C,9.55341,79,108,0.4714
YDR211W,4.65582,122,75,1.17656
YDR212W,6.08392,73,68,0.21362
YDR213W,5.6734,99,83,0.55258
YDR214W,7.02472,45,45,1.28807
YDR215C,10.94672,7,16,0.55858
YDR216W,6.26813,161,147,0.64768
YDR217C,5.19781,207,165,0.72071
YDR218C,5.62238,67,58,0.65269
YDR219C,8.84784,63,69,0.59999
YDR221W,4.78058,122,82,0.8127
YDR224C,10.09955,11,26,0.52273
YDR225W,10.6734,8,21,0.31954
YDR226W,5.98236,31,28,0.64297
YDR227W,9.03192,185,206,0.4269
YDR228C,7.88678,72,74,0.9323
YDR229W,4.88995,72,49,0.55558
YDR233C,9.0766,24,31,0.83334
YDR235W,8.2392,66,70,2.05451
YDR236C,5.03107,25,18,0.84159
YDR237W,9.69501,26,41,0.94989
YDR238C,5.43085,136,111,0.57807
YDR239C,6.11298,110,100,0.29451
YDR240C,9.37543,46,64,0.88995
YDR243C,8.7713,77,83,0.91874
YDR244W,4.94843,88,62,1.03241
YDR245W,6.43207,53,51,2.7686
YDR246W,8.95331,20,24,0.77062
YDR247W,6.43866,56,52,0.83992
YDR250C,8.41559,5,7,0.89914
YDR251W,8.57062,81,86,0.53736
YDR252W,8.8504,15,18,0.284
YDR253C,9.91742,22,38,0.09829
YDR254W,8.89752,54,61,1.0408
YDR255C,8.4632,55,60,0.81557
YDR256C,6.99567,54,53,1.34737
YDR259C,8.67377,44,47,0.44717
YDR260C,5.06061,25,16,1.59849
YDR261W-A,7.31793,40,40,1.0493
YDR262W,5.26337,37,30,0.80092
YDR263C,9.35297,45,64,0.8178
YDR264C,5.42987,86,64,1.36045
YDR265W,9.34674,31,49,1.13777
YDR266C,9.14044,71,93,0.63439
YDR267C,4.59808,59,32,2.82072
YDR268W,9.15033,44,52,0.93293
YDR269C,6.2226,4,3,0.651
YDR270W,5.04535,113,85,0.83531
YDR271C,5.70636,11,10,0.99701
YDR273W,4.77216,68,46,0.23194
YDR275W,5.20966,33,25,0.62281
YDR276C,4.32941,4,2,2.29783
YDR277C,9.1441,46,54,1.01692
YDR279W,7.05548,42,42,0.7526
YDR280W,4.97968,48,33,0.37425
YDR281C,4.59052,17,10,0.53295
YDR283C,5.97833,227,208,0.98493
YDR284C,5.97296,29,24,1.36527
YDR285W,6.40094,146,140,0.20238
YDR286C,8.30219,18,20,0.97717
YDR287W,5.46625,34,27,1.52763
YDR289C,4.75629,85,54,0.52777
YDR290W,6.70319,9,9,1.79476
YDR291W,6.22333,148,134,0.70042
YDR292C,6.69464,75,73,0.72679
YDR293C,7.26019,150,149,0.67108
YDR295C,8.81195,86,95,0.70726
YDR296W,9.53082,25,37,2.05954
YDR297W,8.35651,34,36,1.43505
YDR298C,9.58185,21,30,0.20141
YDR299W,4.68085,116,75,0.61248
YDR300C,6.28241,54,50,0.67375
YDR301W,5.6192,173,148,0.72697
YDR303C,8.21906,94,98,0.6513
YDR305C,7.02448,25,25,1.50416
YDR306C,8.80109,50,60,1.23824
YDR307W,6.34064,64,60,2.05805
YDR308C,4.9079,27,19,0.10827
YDR309C,9.47516,40,51,0.44421
YDR310C,5.84869,150,135,0.47145
YDR311W,6.43646,89,85,0.54154
YDR312W,9.06329,75,83,0.14849
YDR313C,5.55621,43,32,0.64116
YDR314C,9.45367,90,121,1.31518
YDR315C,7.99188,30,32,1.88273
YDR316W,9.42499,75,96,0.88346
YDR317W,9.14972,43,56,1.00896
YDR318W,4.8963,71,50,0.56027
YDR319C,8.74298,14,20,2.45543
YDR320C,5.14203,103,83,0.81446
YDR321W,5.237,42,32,0.64211
YDR322C-A,5.84723,15,14,0.42251
YDR322W,9.51813,41,54,1.2954
YDR323C,8.75616,65,76,0.66846
YDR324C,6.15204,102,96,1.25313
YDR326C,7.01019,172,169,0.59131
YDR327W,9.40741,8,13,1.28789
YDR328C,4.34943,48,23,0.94469
YDR329C,5.97833,49,45,1.31011
YDR331W,4.95087,58,36,1.10333
YDR332W,9.0119,83,97,0.87236
YDR333C,5.42596,105,84,1.10225
YDR334W,5.86005,252,222,0.72642
YDR335W,5.19501,171,137,1.42084
YDR337W,9.92438,38,57,0.44439
YDR339C,9.86224,17,36,0.4484
YDR340W,8.70966,9,11,0.91436
YDR341C,6.32501,84,79,1.23173
YDR342C,7.89435,44,46,1.75542
YDR343C,7.89435,44,46,1.75626
YDR344C,8.60248,12,16,1.83231
YDR345C,6.80658,41,41,1.664
YDR346C,4.43915,98,43,1.25471
YDR347W,9.12823,37,44,1.24577
YDR348C,9.49164,59,71,0.45222
YDR349C,4.79059,51,36,1.10601
YDR350C,9.2901,64,88,1.08226
YDR351W,8.56085,106,115,0.9084
YDR353W,5.68988,39,34,0.72756
YDR356W,6.65448,194,191,0.45643
YDR357C,5.02142,21,16,0.65847
YDR359C,9.10297,128,144,0.81453
YDR361C,4.69489,59,37,0.63225
YDR362C,6.15497,87,80,0.91885
YDR363W-A,4.16241,25,11,1.73214
YDR364C,6.72626,63,60,1.40613
YDR365C,5.14056,146,120,0.50691
YDR366C,9.15338,7,12,1.33691
YDR367W,8.21747,16,18,1.90417
YDR368W,6.61566,37,36,1.41507
YDR369C,8.41156,115,120,0.66929
YDR370C,8.57135,52,58,0.95798
YDR371W,8.27704,58,61,1.57881
YDR372C,5.01617,57,45,0.77088
YDR373W,4.8797,32,22,0.98497
YDR374C,9.01752,38,43,1.41476
YDR376W,9.00922,62,71,1.36006
YDR377W,10.10236,5,15,1.27652
YDR378C,5.69989,9,8,0.47566
YDR379W,8.05658,136,140,0.41871
YDR380W,6.09821,70,63,1.08863
YDR381W,11.32709,22,51,0.11941
YDR382W,4.10773,23,8,0.26968
YDR383C,4.52423,49,30,0.39591
YDR384C,4.57452,20,12,1.49909
YDR386W,8.69171,89,98,0.8544
YDR387C,8.41901,38,42,1.114
YDR388W,5.76642,53,48,1.02959
YDR389W,9.57855,72,91,0.66476
YDR390C,4.99603,91,70,0.57895
YDR392W,7.7619,54,55,0.83042
YDR394W,5.38361,64,56,0.37333
YDR395W,4.61188,138,79,0.88166
YDR397C,4.89069,28,19,0.08949
YDR398W,4.83051,100,65,1.14853
YDR399W,5.46356,34,28,1.13813
YDR403W,6.08099,75,66,1.11272
YDR404C,7.66681,18,19,0.49533
YDR405W,9.44989,34,44,1.03547
YDR407C,7.45453,144,145,0.97684
YDR408C,5.98236,27,23,0.87362
YDR409W,6.46869,99,94,0.63545
YDR410C,7.77228,20,21,1.49692
YDR412W,9.36908,46,55,0.51619
YDR413C,9.22552,4,13,0.92372
YDR414C,9.3808,28,40,2.06398
YDR415C,5.47589,49,36,1.24943
YDR416W,5.16742,130,101,1.68446
YDR419W,8.52545,83,91,1.04084
YDR422C,6.10272,104,88,0.56298
YDR423C,6.68036,58,57,0.65397
YDR424C,7.92572,12,13,1.24032
YDR425W,6.52814,66,61,0.83163
YDR427W,5.5069,58,49,1.05904
YDR428C,5.17291,32,24,1.08316
YDR429C,6.41644,44,43,0.85046
YDR430C,5.97577,128,112,0.85052
YDR432W,5.38019,60,46,0.78017
YDR433W,3.88068,26,2,0
YDR435C,6.96027,39,39,1.30285
YDR436W,9.37006,74,96,0.66167
YDR438W,5.74982,26,22,1.30545
YDR439W,9.54413,46,59,0.23035
YDR441C,4.836,27,15,0.22991
YDR443C,5.47906,177,140,0.80604
YDR444W,8.29779,89,92,1.01278
YDR445C,7.77106,7,8,1.32014
YDR446W,8.21136,45,47,0.60534
YDR448W,6.22772,66,61,1.05401
YDR449C,9.0329,58,69,1.36089
YDR450W,10.27008,15,27,1.0028
YDR452W,6.42389,105,101,1.29373
YDR453C,6.7431,24,24,1.11961
YDR455C,6.23773,7,6,0.03508
YDR456W,4.66449,59,35,1.04986
YDR457W,5.05597,506,370,0.78537
YDR459C,8.68402,32,39,1.9788
YDR460W,5.8609,60,56,0.63943
YDR461W,7.88385,4,5,1.81206
YDR462W,10.49493,12,28,0.89926
YDR463W,7.25128,59,59,0.45974
YDR464W,8.93243,236,254,0.41291
YDR465C,4.43756,78,39,1.3432
YDR466W,9.52362,82,111,0.86963
YDR468C,4.48175,45,24,0.39587
YDR469W,4.71259,28,16,0.23629
YDR472W,7.01093,28,28,0.65886
YDR473C,8.68817,84,90,1.0819
YDR475C,9.58954,112,146,0.68457
YDR477W,6.17572,83,70,1.01701
YDR479C,5.80914,67,59,1.36194
YDR480W,6.8714,45,44,0.95488
YDR482C,9.66522,20,26,0.54592
YDR483W,5.27313,64,49,2.11575
YDR484W,5.52582,82,71,0.75324
YDR485C,5.09357,149,118,0.50514
YDR487C,5.45599,28,21,0.23131
YDR488C,5.21783,74,58,1.30632
YDR489W,4.69293,49,31,1.05782
YDR490C,9.258,92,111,0.78717
YDR492W,8.7934,19,26,1.51365
YDR496C,6.43768,107,102,0.80481
YDR497C,6.11444,47,43,1.06145
YDR498C,5.69916,56,48,1.10582
YDR499W,5.69891,107,91,0.70617
YDR500C,11.79279,0,22,0.90999
YDR502C,5.17889,56,45,1.06436
YDR503C,8.63287,24,29,1.7302
YDR504C,9.1994,5,12,1.35755
YDR505C,6.19794,85,77,0.60154
YDR506C,5.9422,76,63,1.64686
YDR507C,9.22443,169,193,0.53336
YDR508C,7.84344,61,63,1.51996
YDR510W,4.9173,21,15,0.25697
YDR511W,9.12531,17,20,1.16899
YDR512C,8.72955,21,25,1.37846
YDR514C,8.92987,62,73,1.15428
YDR515W,9.27448,47,58,1.07533
YDR516C,5.87518,65,56,0.69644
YDR517W,5.06598,46,32,0.81508
YDR520C,8.15118,93,97,0.80341
YDR523C,7.55011,64,65,0.89438
YDR524C,9.54034,38,61,0.85799
YDR526C,4.67267,9,6,0.8708
YDR527W,4.87787,85,59,1.02368
YDR528W,6.2923,57,54,0.36025
YDR529C,5.61981,19,16,1.00003
YDR530C,5.2923,47,33,0.87947
YDR531W,5.93488,36,30,1.06827
YDR532C,4.80426,71,48,0.60841
YDR533C,5.26154,34,27,0.89776
YDR534C,4.43304,49,21,0.69423
YDR536W,6.12958,53,49,1.35249
YDR538W,9.69147,20,30,0.80313
YDR541C,6.05902,44,37,0.70765
YDR542W,5.51361,9,7,1.24128
YDR545W,7.59479,225,227,1.09339
YEL002C,5.62384,53,45,1.61568
YEL003W,7.78558,19,20,0.77691
YEL004W,9.50006,17,34,1.19608
YEL005C,5.85101,37,32,0.57534
YEL006W,9.71222,18,34,0.8409
YEL008W,9.1192,6,11,2.43091
YEL009C,5.08038,46,36,0.36602
YEL011W,5.75861,94,74,1.60249
YEL012W,4.06256,51,18,1.21932
YEL013W,5.0025,74,53,0.45905
YEL015W,5.98785,67,62,0.63263
YEL016C,5.42804,66,50,1.56737
YEL017C-A,11.55524,0,5,1.46763
YEL017W,4.85089,43,31,1.03571
YEL018W,7.88275,37,38,0.36216
YEL019C,5.03241,39,29,0.93941
YEL020C,7.56244,53,54,0.91943
YEL020W-A,8.39716,12,14,0.19507
YEL021W,6.90997,36,36,1.04004
YEL023C,6.14606,91,83,1.37713
YEL026W,7.69562,12,13,0.24726
YEL027W,8.24554,5,7,0.59265
YEL030W,5.93402,89,84,0.30578
YEL031W,6.16608,136,126,0.88547
YEL032W,5.26373,146,114,0.46067
YEL034W,4.81403,28,17,0.18873
YEL036C,5.13617,74,53,1.64082
YEL037C,4.25909,68,29,0.22282
YEL038W,5.36823,27,22,0.99237
YEL039C,9.61151,11,20,1.05329
YEL041W,5.55292,68,58,0.86124
YEL042W,5.17926,65,50,0.83094
YEL043W,7.67609,93,94,0.83297
YEL046C,5.86249,47,39,0.99744
YEL048C,4.65167,25,16,0.67478
YEL049W,5.13422,10,7,1.24265
YEL051W,5.79047,42,40,0.40831
YEL053C,5.58966,93,77,0.98705
YEL054C,9.43158,20,26,0.17422
YEL055C,5.20746,161,130,0.7557
YEL056W,4.71698,62,31,1.46783
YEL057C,9.76215,24,39,0.59883
YEL058W,5.58148,71,57,0.81816
YEL059W,7.6109,5,6,1.79478
YEL060C,5.94061,94,78,0.6014
YEL061C,8.21796,125,129,0.34776
YEL062W,8.76678,61,70,0.76956
YEL063C,8.55341,47,51,1.82284
YEL064C,8.7757,34,41,0.71779
YEL066W,6.21344,23,21,2.33282
YEL068C,5.7171,16,13,2.31984
YEL069C,6.97186,48,48,1.76142
YEL070W,5.77911,66,56,1.23314
YEL071W,6.40912,61,57,0.825
YEL072W,8.2536,28,30,0.79192
YEL074W,9.75739,8,18,0.70357
YEL075C,7.82733,19,20,0.22188
YEL077C,6.79364,150,147,1.1028
YER002W,9.25714,45,52,1.00108
YER004W,9.29877,23,29,0.5856
YER005W,5.83344,82,70,1.23443
YER006W,8.92169,77,84,0.76489
YER007C-A,6.53326,25,24,0.57749
YER007W,8.76788,60,67,0.9566
YER008C,5.33636,210,167,0.82586
YER009W,4.50116,15,8,0.61856
YER010C,6.89288,21,21,0.59754
YER011W,4.65912,20,13,0.51995
YER012W,5.82977,28,25,0.73347
YER013W,7.79498,153,155,0.65857
YER015W,7.82269,88,90,0.79551
YER016W,5.25543,48,36,0.94809
YER017C,9.20233,87,100,0.48307
YER018C,6.40594,28,25,0.78157
YER019C-A,10.43927,4,11,0.31022
YER019W,7.24469,52,52,1.54005
YER020W,6.0556,49,46,0.82998
YER021W,5.37433,75,59,0.85516
YER022W,5.20062,118,92,0.42816
YER023W,5.36859,30,24,0.65662
YER025W,6.37421,71,68,0.39195
YER026C,5.82135,29,23,0.31051
YER027C,4.6861,58,29,0.92148
YER028C,9.95819,31,51,0.25928
YER029C,10.36505,21,45,0.20533
YER030W,4.46454,51,29,0.34131
YER031C,4.96747,30,22,1.01292
YER032W,7.20953,113,112,0.28069
YER033C,4.7381,178,108,0.44906
YER036C,6.08539,87,80,0.71947
YER037W,5.2392,51,40,1.18576
YER038C,5.12445,73,57,0.56657
YER040W,9.60699,49,66,0.45237
YER041W,6.81049,104,102,0.95996
YER043C,5.8266,55,44,0.8398
YER044C,9.41998,8,14,2.08112
YER045C,8.27423,44,47,0.62922
YER047C,8.9903,115,126,0.63301
YER048C,5.62787,77,69,0.64665
YER049W,5.22675,109,85,1.34426
YER051W,6.29803,68,63,1.28083
YER052C,6.21649,63,58,0.51851
YER053C,9.45868,17,34,1.81401
YER054C,8.87384,70,78,0.84125
YER055C,5.87396,38,36,0.42072
YER056C,5.10406,39,29,2.07258
YER057C,5.28082,14,10,0.33943
YER058W,9.37872,17,22,0.37416
YER059W,5.8266,51,45,0.51067
YER060W-A,5.07843,39,29,2.01259
YER061C,8.4444,38,42,0.53959
YER062C,5.80231,36,32,1.48436
YER063W,6.68744,37,37,0.12346
YER064C,9.19977,59,70,0.39532
YER065C,5.97528,76,66,1.33957
YER066C-A,9.53363,9,19,1.4692
YER066W,5.82477,22,18,1.33205
YER067W,5.74445,33,23,0.69514
YER068W,8.29413,58,62,0.71565
YER069W,8.41864,93,98,0.99264
YER070W,5.83099,108,95,1.21354
YER071C,4.93427,21,15,1.28119
YER073W,8.29877,58,61,0.98956
YER075C,7.07123,102,101,0.72993
YER076C,4.70612,31,17,2.09155
YER077C,9.46625,81,113,0.75792
YER078C,6.10614,65,59,0.90836
YER079W,9.23163,22,28,0.51924
YER081W,5.35785,49,36,0.742
YER082C,9.46002,62,80,0.94005
YER083C,9.4538,21,28,1.29902
YER084W,10.02679,5,15,0.8269
YER086W,8.67487,61,66,0.56282
YER087C-B,10.51788,3,11,0.17105
YER088C,9.50299,56,71,0.56059
YER089C,4.83868,73,45,0.56423
YER090W,5.56146,67,55,0.78444
YER091C,6.06635,101,94,1.01475
YER092W,4.40265,28,15,0.90484
YER093C,8.80463,170,186,0.6689
YER094C,5.05121,27,21,0.79276
YER095W,4.81537,57,37,0.30072
YER096W,5.55353,67,54,0.93694
YER099C,5.99298,38,32,0.36445
YER100W,5.80548,34,30,1.11071
YER103W,5.03119,98,78,0.33927
YER104W,5.36053,37,29,0.766
YER105C,6.04156,169,155,0.8559
YER106W,9.03424,47,56,0.89925
YER107C,8.76556,32,38,1.55483
YER109C,9.34686,64,80,0.6775
YER110C,4.5401,163,88,0.49621
YER111C,8.85895,110,122,0.52175
YER112W,9.45306,14,19,0.81877
YER113C,7.17157,66,66,1.80625
YER114C,8.79584,135,143,0.64407
YER115C,9.58368,13,27,0.97924
YER116C,4.664,54,31,0.18187
YER117W,10.33331,9,21,0.98323
YER118C,5.41046,37,30,1.63063
YER119C,9.03192,21,30,0.82105
YER120W,4.84772,33,23,0.74985
YER121W,4.92328,17,11,1.54086
YER122C,8.37006,66,69,0.55198
YER123W,8.97467,55,68,1.10911
YER124C,5.71857,64,55,1.00339
YER125W,6.24396,104,97,1.23858
YER126C,10.24237,28,57,0.81
YER127W,6.45477,65,63,0.63796
YER128W,8.58746,29,32,1.28936
YER129W,8.86835,144,159,0.35623
YER131W,10.8996,8,31,0.48042
YER132C,7.78741,190,192,0.73106
YER133W,5.31195,45,38,1.04075
YER136W,5.659,64,54,1.03279
YER137C,9.23004,19,26,0.2096
YER138C,8.1413,193,198,0.96691
YER139C,4.82135,45,29,0.63569
YER140W,9.78754,51,82,1.15575
YER142C,8.10834,48,50,1.05935
YER143W,4.95746,55,43,0.32257
YER144C,8.63031,78,88,0.85314
YER145C,8.67169,34,39,1.60066
YER146W,4.53656,16,8,0.52769
YER147C,7.96906,70,73,1.37192
YER148W,9.39252,29,37,0.54402
YER149C,5.39435,69,55,0.66408
YER151C,7.65985,109,110,0.80351
YER152C,6.22882,47,43,0.9507
YER153C,9.74689,26,33,1.06552
YER154W,10.13007,24,44,1.21733
YER155C,8.52704,239,251,0.78606
YER156C,7.05548,45,45,1.1238
YER157W,5.28058,121,102,0.74419
YER158C,9.86127,48,73,0.61763
YER159C,5.09955,22,17,0.00806
YER159C-A,7.73492,38,39,0.91974
YER160C,8.67657,186,201,0.96
YER161C,9.41339,65,78,0.59454
YER162C,8.15741,124,128,1.2045
