Proteins,Ortho(O),Fun_Go(F),Sub_cell(S),O*F,F*S,O*S,O*F*S,"larg(O,F,S)"
YER091C,0.044209777,0.074074074,0,0.003274798,0,0,0,0.074074074
YER092W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YER093C,0,0.143518519,0.528306491,0,0.075821765,0,0,0.528306491
YER094C,0.023818671,0.143518519,0.750610054,0.00341842,0.107726443,0.017878534,0.002565901,0.750610054
YER095W,0.308201546,0.134259259,0.39238653,0.041378911,0.052681525,0.120934135,0.016236527,0.39238653
YER096W,0,0.143518519,0.439970717,0,0.063143946,0,0,0.439970717
YER099C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YER100W,0,0.134259259,0.103953148,0,0.013956673,0,0,0.134259259
YER103W,0.109686827,0.134259259,0.358223524,0.014726472,0.048094825,0.039292402,0.005275369,0.358223524
YER104W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YER105C,0.023818671,0.143518519,0.832357247,0.00341842,0.119458679,0.019825643,0.002845347,0.832357247
YER106W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YER107C,0,0.143518519,0.832357247,0,0.119458679,0,0,0.832357247
YER109C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YER110C,0,0.074074074,0.750610054,0,0.055600745,0,0,0.750610054
YER111C,0,0.143518519,0,0,0,0,0,0.143518519
YER112W,0.042699748,0.143518519,0.750610054,0.006128205,0.107726443,0.03205086,0.004599892,0.750610054
YER113C,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YER114C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YER115C,0,0.143518519,0,0,0,0,0,0.143518519
YER116C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YER117W,0.076355116,0.143518519,0.358223524,0.010958373,0.05141171,0.027352199,0.003925547,0.358223524
YER118C,0.332013295,0.134259259,0.064421669,0.044575859,0.008649206,0.021388851,0.002871651,0.332013295
YER119C,0,0.143518519,0.041239629,0,0.00591865,0,0,0.143518519
YER120W,0,0.143518519,0.496339678,0,0.071233936,0,0,0.496339678
YER121W,0,0.143518519,0,0,0,0,0,0.143518519
YER122C,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YER123W,0,0.143518519,0.838945827,0,0.120404263,0,0,0.838945827
YER124C,0.023818671,0.143518519,0.017325525,0.00341842,0.002486534,0.000412671,5.92259E-05,0.143518519
YER125W,0.082725716,0.013888889,0.750610054,0.001148968,0.01042514,0.062094754,0.000862427,0.750610054
YER126C,0.047610847,0.143518519,0.39238653,0.006833038,0.056314734,0.018681855,0.002681192,0.39238653
YER127W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YER128W,0,0.143518519,0.462176672,0,0.066330911,0,0,0.462176672
YER129W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YER131W,0.023818671,0.143518519,0.358223524,0.00341842,0.05141171,0.008532408,0.001224559,0.358223524
YER132C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YER133W,0.219017572,0.018518519,0.750610054,0.004055881,0.013900187,0.164396792,0.003044385,0.750610054
YER136W,0.023818671,0.143518519,0.358223524,0.00341842,0.05141171,0.008532408,0.001224559,0.358223524
YER137C,0,0.143518519,0,0,0,0,0,0.143518519
YER138C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YER139C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YER140W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YER142C,0.057690222,0.143518519,0.39238653,0.008279615,0.056314734,0.022636866,0.003248809,0.39238653
YER143W,0,0.143518519,0.487066862,0,0.069903115,0,0,0.487066862
YER144C,0,0.143518519,0,0,0,0,0,0.143518519
YER145C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YER146W,0.049085962,0.143518519,0.39238653,0.007044745,0.056314734,0.01926067,0.002764263,0.39238653
YER147C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YER148W,0.033408745,0.143518519,0.39238653,0.004794774,0.056314734,0.013109142,0.001881405,0.39238653
YER149C,0,0.143518519,0,0,0,0,0,0.143518519
YER151C,0,0.143518519,0,0,0,0,0,0.143518519
YER152C,0,0.143518519,0,0,0,0,0,0.143518519
YER153C,0,0.143518519,0.081747194,0,0.011732236,0,0,0.143518519
YER154W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YER155C,0,0.143518519,0,0,0,0,0,0.143518519
YER156C,0,0.143518519,0,0,0,0,0,0.143518519
YER157W,0,0.143518519,0.487066862,0,0.069903115,0,0,0.487066862
YER158C,0,0.143518519,0,0,0,0,0,0.143518519
YER159C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YER159C-A,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YER160C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YER161C,0,0.013888889,0.39238653,0,0.005449813,0,0,0.39238653
YER162C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YER163C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YER164W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YER165W,0,0.013888889,0.750610054,0,0.01042514,0,0,0.750610054
YER166W,0,0.143518519,0.198145437,0,0.02843754,0,0,0.198145437
YER167W,0,0.143518519,0,0,0,0,0,0.143518519
YER168C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YER169W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YER170W,0,0.143518519,0,0,0,0,0,0.143518519
YER171W,0.169523229,0.018518519,0.39238653,0.003139319,0.007266417,0.066518632,0.001231827,0.39238653
YER172C,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YER173W,0.203723896,0.273148148,0.39238653,0.055646805,0.107179654,0.079938513,0.021835057,0.39238653
YER174C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YER175C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YER177W,0,0.018518519,0,0,0,0,0,0.018518519
YER178W,0,0.134259259,0,0,0,0,0,0.134259259
YER179W,0.38634321,0.273148148,0.39238653,0.105528932,0.107179654,0.151595872,0.041408132,0.39238653
YER180C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YER181C,0,0.143518519,0,0,0,0,0,0.143518519
YER184C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YER186C,0,0.143518519,0,0,0,0,0,0.143518519
YER188W,0,0.143518519,0,0,0,0,0,0.143518519
YFL002C,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YFL003C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YFL004W,0,0.143518519,0.041239629,0,0.00591865,0,0,0.143518519
YFL005W,0,0.143518519,0.405319668,0,0.058170878,0,0,0.405319668
YFL007W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YFL008W,0.040845967,0.143518519,0.39238653,0.005862153,0.056314734,0.016027407,0.00230023,0.39238653
YFL009W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YFL010C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YFL011W,0,0.143518519,0,0,0,0,0,0.143518519
YFL012W,0,0.143518519,0,0,0,0,0,0.143518519
YFL013C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YFL014W,0,0.143518519,0,0,0,0,0,0.143518519
YFL016C,0.23842384,0.074074074,0,0.017661025,0,0,0,0.23842384
YFL017C,0.05556189,0.143518519,0,0.00797416,0,0,0,0.143518519
YFL017W-A,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YFL018C,0.12631407,0.074074074,0,0.009356598,0,0,0,0.12631407
YFL020C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YFL021W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YFL022C,0.054425543,0.143518519,0.358223524,0.007811073,0.05141171,0.01949651,0.00279811,0.358223524
YFL023W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YFL024C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YFL025C,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YFL026W,0,0.143518519,0,0,0,0,0,0.143518519
YFL027C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YFL029C,0,0.143518519,0,0,0,0,0,0.143518519
YFL030W,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YFL033C,0,0.134259259,0.750610054,0,0.10077635,0,0,0.750610054
YFL034C-B,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YFL034W,0,0.143518519,0,0,0,0,0,0.143518519
YFL036W,0,0.143518519,0,0,0,0,0,0.143518519
YFL037W,0.105260981,0,0.358223524,0,0,0.03770696,0,0.358223524
YFL038C,0,0.134259259,0.59102001,0,0.079349909,0,0,0.59102001
YFL039C,0.151561446,0.101851852,0.358223524,0.015436814,0.036485729,0.054292875,0.00552983,0.358223524
YFL040W,0,0.143518519,0,0,0,0,0,0.143518519
YFL041W,0.046898549,0.143518519,0.047096144,0.00673081,0.006759169,0.002208741,0.000316995,0.143518519
YFL042C,0.023818671,0.143518519,0.537579307,0.00341842,0.077152586,0.012804425,0.001837672,0.537579307
YFL044C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YFL045C,0.023818671,0.134259259,0.358223524,0.003197877,0.048094825,0.008532408,0.001145555,0.358223524
YFL047W,0,0.143518519,0,0,0,0,0,0.143518519
YFL048C,0,0.143518519,0.151049292,0,0.021678371,0,0,0.151049292
YFL049W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YFL050C,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YFL051C,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YFL052W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YFL054C,0,0.143518519,0,0,0,0,0,0.143518519
YFL055W,0,0.143518519,0,0,0,0,0,0.143518519
YFL056C,0,0.143518519,0,0,0,0,0,0.143518519
YFL059W,0,0.143518519,0,0,0,0,0,0.143518519
YFL060C,0,0.143518519,0,0,0,0,0,0.143518519
YFL061W,0,0.143518519,0,0,0,0,0,0.143518519
YFL062W,0,0.143518519,0,0,0,0,0,0.143518519
YFL063W,0,0.143518519,0,0,0,0,0,0.143518519
YFL065C,0,0.143518519,0,0,0,0,0,0.143518519
YFL066C,0,0.143518519,0,0,0,0,0,0.143518519
YFL067W,0,0.143518519,0,0,0,0,0,0.143518519
YFR001W,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YFR002W,0,0.143518519,0.832357247,0,0.119458679,0,0,0.832357247
YFR003C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YFR004W,0.066885265,0.134259259,0,0.008979966,0,0,0,0.134259259
YFR006W,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YFR008W,0,0.143518519,0,0,0,0,0,0.143518519
YFR009W,0.072106457,0.143518519,0,0.010348612,0,0,0,0.143518519
YFR010W,0,0.143518519,0,0,0,0,0,0.143518519
YFR011C,0,0.143518519,0.081747194,0,0.011732236,0,0,0.143518519
YFR013W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YFR014C,0,0.143518519,0,0,0,0,0,0.143518519
YFR015C,0,0.143518519,0,0,0,0,0,0.143518519
YFR016C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YFR017C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YFR018C,0,0.143518519,0,0,0,0,0,0.143518519
YFR019W,0,0.143518519,0.226939971,0,0.032570089,0,0,0.226939971
YFR021W,0,0.134259259,0.226939971,0,0.030468792,0,0,0.226939971
YFR022W,0,0.143518519,0,0,0,0,0,0.143518519
YFR024C-A,0.040261237,0.134259259,0.358223524,0.005405444,0.048094825,0.014422522,0.001936357,0.358223524
YFR026C,0,0.143518519,0,0,0,0,0,0.143518519
YFR027W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YFR028C,0.139807569,0.018518519,0.767935578,0.002589029,0.01422103,0.107363206,0.001988208,0.767935578
YFR029W,0,0.143518519,0.487066862,0,0.069903115,0,0,0.487066862
YFR030W,0.086710667,0.134259259,0,0.01164171,0,0,0,0.134259259
YFR031C,0.039133486,0.143518519,0.750610054,0.00561638,0.107726443,0.029373988,0.004215711,0.750610054
YFR033C,0,0.143518519,0,0,0,0,0,0.143518519
YFR034C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YFR036W,0.056008757,0.143518519,0.39238653,0.008038294,0.056314734,0.021977082,0.003154118,0.39238653
YFR037C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YFR039C,0,0.143518519,0,0,0,0,0,0.143518519
YFR040W,0,0.013888889,0.358223524,0,0.004975327,0,0,0.358223524
YFR042W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YFR043C,0,0.143518519,0,0,0,0,0,0.143518519
YFR044C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YFR045W,0,0.143518519,0,0,0,0,0,0.143518519
YFR047C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YFR049W,0,0.143518519,0,0,0,0,0,0.143518519
YFR050C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YFR051C,0,0.143518519,0.487066862,0,0.069903115,0,0,0.487066862
YFR052W,0,0.134259259,0,0,0,0,0,0.134259259
YFR053C,0.121688233,0,0,0,0,0,0,0.121688233
YGL001C,0.038490347,0.143518519,0.185700342,0.005524078,0.026651438,0.007147671,0.001025823,0.185700342
YGL003C,0.059852758,0.013888889,0.750610054,0.000831288,0.01042514,0.044926082,0.000623973,0.750610054
YGL004C,0,0.074074074,0.750610054,0,0.055600745,0,0,0.750610054
YGL005C,0,0.143518519,0.128843338,0,0.018491405,0,0,0.143518519
YGL006W,0,0.143518519,0.041239629,0,0.00591865,0,0,0.143518519
YGL008C,0.149897804,0.134259259,0.047096144,0.020125168,0.006323093,0.007059609,0.000947818,0.149897804
YGL009C,0,0.143518519,0,0,0,0,0,0.143518519
YGL010W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YGL011C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL012W,0,0.143518519,0,0,0,0,0,0.143518519
YGL014W,0,0.143518519,0,0,0,0,0,0.143518519
YGL015C,0,0.143518519,0,0,0,0,0,0.143518519
YGL016W,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YGL017W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL018C,0,0.143518519,0,0,0,0,0,0.143518519
YGL019W,0.049358231,0.143518519,0,0.00708382,0,0,0,0.143518519
YGL021W,0,0.143518519,0,0,0,0,0,0.143518519
YGL022W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YGL023C,0,0.143518519,0.122986823,0,0.017650887,0,0,0.143518519
YGL024W,0,0.143518519,0,0,0,0,0,0.143518519
YGL025C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL026C,0.045870572,0.143518519,0,0.006583277,0,0,0,0.143518519
YGL027C,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YGL028C,0,0.143518519,0,0,0,0,0,0.143518519
YGL029W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL030W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL032C,0,0.143518519,0,0,0,0,0,0.143518519
YGL035C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL036W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL037C,0,0.143518519,0.764031235,0,0.109652631,0,0,0.764031235
YGL038C,0,0.143518519,0.151049292,0,0.021678371,0,0,0.151049292
YGL040C,0.036863486,0.143518519,0,0.005290593,0,0,0,0.143518519
YGL042C,0,0.143518519,0,0,0,0,0,0.143518519
YGL043W,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YGL044C,0.03470248,0.143518519,0.39238653,0.004980449,0.056314734,0.013616786,0.001954261,0.39238653
YGL045W,0,0.143518519,0,0,0,0,0,0.143518519
YGL047W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YGL048C,0.075614437,0.273148148,0.750610054,0.020653943,0.205027746,0.056756957,0.015503058,0.750610054
YGL049C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL050W,0,0.143518519,0,0,0,0,0,0.143518519
YGL051W,0,0.143518519,0.509272816,0,0.07309008,0,0,0.509272816
YGL053W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YGL054C,0,0.143518519,0.151049292,0,0.021678371,0,0,0.151049292
YGL055W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YGL057C,0,0.143518519,0,0,0,0,0,0.143518519
YGL058W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL059W,0,0.143518519,0,0,0,0,0,0.143518519
YGL060W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL061C,0.023818671,0.143518519,0.750610054,0.00341842,0.107726443,0.017878534,0.002565901,0.750610054
YGL062W,0.023818671,0.134259259,0.358223524,0.003197877,0.048094825,0.008532408,0.001145555,0.358223524
YGL064C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YGL066W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL068W,0.045581923,0.143518519,0,0.00654185,0,0,0,0.143518519
YGL069C,0,0.143518519,0,0,0,0,0,0.143518519
YGL070C,0.023818671,0.143518519,0.39238653,0.00341842,0.056314734,0.009346126,0.001341342,0.39238653
YGL071W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL072C,0,0.143518519,0,0,0,0,0,0.143518519
YGL073W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL075C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL077C,0,0.143518519,0,0,0,0,0,0.143518519
YGL079W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YGL081W,0.023818671,0.013888889,0,0.000330815,0,0,0,0.023818671
YGL083W,0,0.143518519,0,0,0,0,0,0.143518519
YGL084C,0,0.143518519,0,0,0,0,0,0.143518519
YGL085W,0,0.143518519,0,0,0,0,0,0.143518519
YGL086W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL087C,0,0.143518519,0,0,0,0,0,0.143518519
YGL090W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL091C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL092W,0,0.143518519,0.832357247,0,0.119458679,0,0,0.832357247
YGL093W,0,0.143518519,0.832357247,0,0.119458679,0,0,0.832357247
YGL094C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL095C,0,0.143518519,0.481210347,0,0.069062596,0,0,0.481210347
YGL096W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL097W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL098W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YGL099W,0.064988691,0.143518519,0.358223524,0.009327081,0.05141171,0.023280478,0.00334118,0.358223524
YGL100W,0,0.134259259,0.873596877,0,0.117288469,0,0,0.873596877
YGL102C,0,0.143518519,0,0,0,0,0,0.143518519
YGL104C,0.122663658,0.143518519,0,0.017604507,0,0,0,0.143518519
YGL105W,0.02712271,0.143518519,0.750610054,0.003892611,0.107726443,0.020358579,0.002921833,0.750610054
YGL106W,0.023818671,0.143518519,0.017325525,0.00341842,0.002486534,0.000412671,5.92259E-05,0.143518519
YGL111W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL112C,0.037148386,0.143518519,0.39238653,0.005331481,0.056314734,0.014576526,0.002092001,0.39238653
YGL113W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL114W,0,0.143518519,0,0,0,0,0,0.143518519
YGL115W,0.023818671,0.134259259,0.750610054,0.003197877,0.10077635,0.017878534,0.002400359,0.750610054
YGL116W,0.054988458,0.134259259,0.39238653,0.00738271,0.052681525,0.02157673,0.002896876,0.39238653
YGL117W,0,0.143518519,0,0,0,0,0,0.143518519
YGL119W,0,0.143518519,0.081747194,0,0.011732236,0,0,0.143518519
YGL120C,0.077756078,0.143518519,0.39238653,0.011159437,0.056314734,0.030510438,0.004378813,0.39238653
YGL121C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL122C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL124C,0,0.143518519,0.226939971,0,0.032570089,0,0,0.226939971
YGL126W,0,0.143518519,0,0,0,0,0,0.143518519
YGL127C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL128C,0.059300842,0.143518519,0.750610054,0.008510769,0.107726443,0.044511808,0.006388269,0.750610054
YGL129C,0,0.143518519,0,0,0,0,0,0.143518519
YGL130W,0.068981345,0.143518519,0.39238653,0.0099001,0.056314734,0.027067351,0.003884666,0.39238653
YGL131C,0.023818671,0.143518519,0.750610054,0.00341842,0.107726443,0.017878534,0.002565901,0.750610054
YGL132W,0,0.143518519,0,0,0,0,0,0.143518519
YGL133W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL134W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL137W,0,0.101851852,0.487066862,0,0.049608662,0,0,0.487066862
YGL138C,0,0.143518519,0,0,0,0,0,0.143518519
YGL139W,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YGL141W,0,0.143518519,0,0,0,0,0,0.143518519
YGL142C,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YGL144C,0,0.143518519,0,0,0,0,0,0.143518519
YGL145W,0,0.143518519,0.185700342,0,0.026651438,0,0,0.185700342
YGL146C,0,0.143518519,0,0,0,0,0,0.143518519
YGL147C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL148W,0,0.143518519,0,0,0,0,0,0.143518519
YGL149W,0,0.143518519,0,0,0,0,0,0.143518519
YGL150C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL151W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL153W,0,0.143518519,0.453391898,0,0.065070134,0,0,0.453391898
YGL154C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YGL155W,0,0.143518519,0,0,0,0,0,0.143518519
YGL156W,0.036977594,0.143518519,0.399463153,0.00530697,0.05733036,0.014771186,0.002119939,0.399463153
YGL157W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL158W,0,0.013888889,0,0,0,0,0,0.013888889
YGL161C,0,0.143518519,0,0,0,0,0,0.143518519
YGL163C,0.101857596,0.074074074,0.39238653,0.007545007,0.029065669,0.039967549,0.002960559,0.39238653
YGL165C,0,0.143518519,0,0,0,0,0,0.143518519
YGL166W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL168W,0,0.143518519,0,0,0,0,0,0.143518519
YGL169W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL170C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL171W,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL172W,0,0.143518519,0.832357247,0,0.119458679,0,0,0.832357247
YGL173C,0.065408011,0.013888889,0.750610054,0.000908445,0.01042514,0.049095911,0.000681888,0.750610054
YGL174W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL175C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL177W,0,0.143518519,0,0,0,0,0,0.143518519
YGL178W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL179C,0,0.143518519,0,0,0,0,0,0.143518519
YGL180W,0,0.143518519,0.481210347,0,0.069062596,0,0,0.481210347
YGL181W,0.044502409,0.143518519,0.39238653,0.00638692,0.056314734,0.017462146,0.002506141,0.39238653
YGL183C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL184C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL185C,0,0.143518519,0,0,0,0,0,0.143518519
YGL187C,0,0.143518519,0,0,0,0,0,0.143518519
YGL189C,0.023818671,0.143518519,0.358223524,0.00341842,0.05141171,0.008532408,0.001224559,0.358223524
YGL190C,0,0.273148148,0,0,0,0,0,0.273148148
YGL192W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL194C,0.065917364,0.143518519,0.39238653,0.009460362,0.056314734,0.025865086,0.003712119,0.39238653
YGL195W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL197W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL198W,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YGL200C,0,0.143518519,0.151049292,0,0.021678371,0,0,0.151049292
YGL201C,0,0.143518519,0.39238653,0,0.056314734,0,0,0.39238653
YGL202W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL204C,0,0.143518519,0,0,0,0,0,0.143518519
YGL205W,0,0.143518519,0.013421181,0,0.001926188,0,0,0.143518519
YGL206C,0,0.273148148,0.439970717,0,0.120177187,0,0,0.439970717
YGL207W,0.047607494,0.143518519,0.39238653,0.006832557,0.056314734,0.018680539,0.002681003,0.39238653
YGL208W,0.215809211,0.074074074,0.8840898,0.015985867,0.065488133,0.190794722,0.014132942,0.8840898
YGL210W,0,0.143518519,0.047096144,0,0.006759169,0,0,0.143518519
YGL212W,0,0.143518519,0.041239629,0,0.00591865,0,0,0.143518519
YGL213C,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL214W,0,0.143518519,0,0,0,0,0,0.143518519
YGL215W,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YGL216W,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL217C,0,0.143518519,0,0,0,0,0,0.143518519
YGL220W,0.046787567,0.143518519,0.750610054,0.006714882,0.107726443,0.035119218,0.005040258,0.750610054
YGL221C,0.04707558,0.143518519,0,0.006756218,0,0,0,0.143518519
YGL222C,0,0.143518519,0.358223524,0,0.05141171,0,0,0.358223524
YGL223C,0,0.143518519,0.487066862,0,0.069903115,0,0,0.487066862
YGL225W,0.023818671,0.143518519,0.509272816,0.00341842,0.07309008,0.012130202,0.001740909,0.509272816
YGL226C-A,0,0.143518519,0.103953148,0,0.014919202,0,0,0.143518519
YGL226W,0,0.143518519,0,0,0,0,0,0.143518519
YGL227W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL229C,0.023818671,0.143518519,0,0.00341842,0,0,0,0.143518519
YGL230C,0,0.143518519,0,0,0,0,0,0.143518519
YGL233W,0,0.143518519,0.487066862,0,0.069903115,0,0,0.487066862
YGL234W,0.123238686,0.134259259,0,0.016545935,0,0,0,0.134259259
YGL236C,0.032624361,0.143518519,0,0.0046822,0,0,0,0.143518519
YGL237C,0.054816333,0.074074074,0.39238653,0.004060469,0.029065669,0.021509191,0.001593273,0.39238653
YGL238W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL240W,0.047226202,0.143518519,0.750610054,0.006777835,0.107726443,0.035448462,0.005087511,0.750610054
YGL241W,0,0.143518519,0.750610054,0,0.107726443,0,0,0.750610054
YGL242C,0,0.143518519,0,0,0,0,0,0.143518519
